order_id,city,courier_id,origin_lat,origin_lng,dest_lat,dest_lng,order_time,delivery_time,healthcare_product
TECH-ORD-0001,Hyderabad,C010,20.364837,85.081931,20.366274,85.09098,2024-06-02 03:21:00,2024-06-02 03:44:00,First Aid Kit
TECH-ORD-0002,Delhi,C016,12.525141,81.196737,12.530471,81.200524,2024-06-02 14:52:00,2024-06-02 15:23:00,Thermometer
TECH-ORD-0003,Ahmedabad,C016,26.010908,85.748338,26.017636,85.756193,2024-06-03 05:32:00,2024-06-03 06:10:00,BP Monitor
TECH-ORD-0004,Delhi,C011,13.949374,82.431595,13.958477,82.435646,2024-06-01 11:07:00,2024-06-01 11:45:00,Thermometer
TECH-ORD-0005,Hyderabad,C003,26.529888,83.75054,26.537254,83.75659,2024-06-01 16:27:00,2024-06-01 17:12:00,First Aid Kit
TECH-ORD-0006,Mumbai,C007,27.978879,81.124312,27.984575,81.132067,2024-06-02 18:18:00,2024-06-02 18:29:00,Sanitizer
TECH-ORD-0007,Mumbai,C018,15.417578,72.796586,15.424929,72.805575,2024-06-02 14:19:00,2024-06-02 14:34:00,Thermometer
TECH-ORD-0008,Jaipur,C020,17.690814,81.872076,17.694874,81.874701,2024-06-01 09:38:00,2024-06-01 10:21:00,Sanitizer
TECH-ORD-0009,Pune,C013,16.658267,74.316213,16.660563,74.319513,2024-06-01 14:07:00,2024-06-01 14:26:00,Thermometer
TECH-ORD-0010,Hyderabad,C014,23.502681,73.430358,23.510101,73.43404,2024-06-01 14:44:00,2024-06-01 15:14:00,Glucose Meter
TECH-ORD-0011,Delhi,C014,26.97561,76.609145,26.977077,76.612302,2024-06-03 00:45:00,2024-06-03 01:10:00,Thermometer
TECH-ORD-0012,Kolkata,C017,24.681019,78.613487,24.686203,78.61815,2024-06-02 17:03:00,2024-06-02 17:14:00,Face Mask
TECH-ORD-0013,Ahmedabad,C008,27.30359,72.797826,27.305504,72.805693,2024-06-03 04:28:00,2024-06-03 04:46:00,Sanitizer
TECH-ORD-0014,Hyderabad,C019,19.092,73.828212,19.101711,73.832572,2024-06-01 19:28:00,2024-06-01 19:53:00,Face Mask
TECH-ORD-0015,Jaipur,C014,28.06474,81.333174,28.07439,81.33976,2024-06-03 04:34:00,2024-06-03 04:54:00,Thermometer
TECH-ORD-0016,Bangalore,C002,27.624768,80.173551,27.629189,80.177714,2024-06-03 03:09:00,2024-06-03 03:32:00,Inhaler
TECH-ORD-0017,Lucknow,C017,17.057925,75.057918,17.059732,75.065204,2024-06-01 17:32:00,2024-06-01 18:17:00,Face Mask
TECH-ORD-0018,Hyderabad,C014,15.921814,80.534321,15.931323,80.541037,2024-06-03 08:18:00,2024-06-03 08:56:00,Thermometer
TECH-ORD-0019,Hyderabad,C008,23.2231,77.623228,23.227056,77.632454,2024-06-01 17:07:00,2024-06-01 17:17:00,First Aid Kit
TECH-ORD-0020,Lucknow,C016,12.562795,72.653416,12.570063,72.658817,2024-06-02 10:48:00,2024-06-02 11:32:00,First Aid Kit
TECH-ORD-0021,Mumbai,C003,21.23244,86.690801,21.234551,86.70055,2024-06-02 09:41:00,2024-06-02 10:13:00,Glucose Meter
TECH-ORD-0022,Ahmedabad,C006,26.103838,85.401224,26.108172,85.403961,2024-06-01 08:38:00,2024-06-01 09:02:00,Sanitizer
TECH-ORD-0023,Bangalore,C009,23.518811,83.78257,23.525438,83.790846,2024-06-01 23:05:00,2024-06-01 23:29:00,Vitamins
TECH-ORD-0024,Kolkata,C012,13.100177,80.338243,13.101241,80.348101,2024-06-03 03:35:00,2024-06-03 04:10:00,Glucose Meter
TECH-ORD-0025,Mumbai,C009,21.720492,80.357977,21.726583,80.365118,2024-06-02 22:34:00,2024-06-02 22:55:00,Sanitizer
TECH-ORD-0026,Mumbai,C019,14.572784,73.535682,14.575836,73.54139,2024-06-02 02:43:00,2024-06-02 03:05:00,Sanitizer
TECH-ORD-0027,Bangalore,C018,22.461858,83.312857,22.466702,83.319915,2024-06-03 04:22:00,2024-06-03 04:35:00,Thermometer
TECH-ORD-0028,Pune,C014,26.170768,78.969693,26.176228,78.975348,2024-06-01 10:58:00,2024-06-01 11:22:00,Inhaler
TECH-ORD-0029,Bangalore,C009,27.374267,80.963161,27.378279,80.972082,2024-06-01 09:43:00,2024-06-01 10:07:00,BP Monitor
TECH-ORD-0030,Ahmedabad,C003,27.351907,75.621598,27.358535,75.622849,2024-06-02 13:29:00,2024-06-02 13:40:00,BP Monitor
TECH-ORD-0031,Lucknow,C011,26.115694,76.438918,26.124187,76.447312,2024-06-02 19:28:00,2024-06-02 19:53:00,First Aid Kit
TECH-ORD-0032,Mumbai,C020,22.539485,84.650746,22.541255,84.652292,2024-06-01 10:16:00,2024-06-01 10:50:00,First Aid Kit
TECH-ORD-0033,Pune,C003,25.184917,73.476931,25.191413,73.481818,2024-06-01 14:57:00,2024-06-01 15:10:00,BP Monitor
TECH-ORD-0034,Jaipur,C002,17.269568,78.570181,17.272666,78.576578,2024-06-03 05:02:00,2024-06-03 05:12:00,BP Monitor
TECH-ORD-0035,Kolkata,C013,20.022592,79.298907,20.02945,79.305989,2024-06-01 09:46:00,2024-06-01 10:25:00,Vitamins
TECH-ORD-0036,Jaipur,C011,22.012822,74.221571,22.019158,74.230138,2024-06-02 23:07:00,2024-06-02 23:25:00,BP Monitor
TECH-ORD-0037,Jaipur,C009,18.259755,80.147967,18.261994,80.149364,2024-06-01 16:42:00,2024-06-01 17:11:00,Thermometer
TECH-ORD-0038,Lucknow,C014,20.809792,82.863783,20.815662,82.866093,2024-06-02 16:03:00,2024-06-02 16:32:00,Face Mask
TECH-ORD-0039,Lucknow,C011,17.21559,87.930463,17.217891,87.9336,2024-06-02 22:11:00,2024-06-02 22:24:00,Sanitizer
TECH-ORD-0040,Ahmedabad,C012,15.673766,75.691619,15.677839,75.698629,2024-06-03 07:25:00,2024-06-03 08:04:00,Glucose Meter
TECH-ORD-0041,Lucknow,C011,26.299254,81.496933,26.303211,81.498877,2024-06-01 10:52:00,2024-06-01 11:33:00,BP Monitor
TECH-ORD-0042,Chennai,C001,22.847357,83.51647,22.852684,83.524385,2024-06-02 06:37:00,2024-06-02 07:11:00,First Aid Kit
TECH-ORD-0043,Chennai,C013,15.482017,88.230536,15.483288,88.232572,2024-06-02 03:50:00,2024-06-02 04:28:00,Face Mask
TECH-ORD-0044,Chennai,C019,27.295388,78.216539,27.298945,78.21951,2024-06-02 01:53:00,2024-06-02 02:14:00,Face Mask
TECH-ORD-0045,Pune,C018,16.478143,75.611438,16.480053,75.619921,2024-06-01 17:22:00,2024-06-01 17:56:00,First Aid Kit
TECH-ORD-0046,Mumbai,C011,27.659851,77.356841,27.6668,77.366311,2024-06-03 02:32:00,2024-06-03 03:09:00,BP Monitor
TECH-ORD-0047,Mumbai,C004,14.8457,87.187906,14.850104,87.192274,2024-06-03 00:55:00,2024-06-03 01:32:00,Face Mask
TECH-ORD-0048,Chennai,C002,24.869023,81.834365,24.87136,81.83759,2024-06-03 02:58:00,2024-06-03 03:25:00,Face Mask
TECH-ORD-0049,Delhi,C017,28.182011,86.576393,28.187247,86.583365,2024-06-01 12:25:00,2024-06-01 12:45:00,BP Monitor
TECH-ORD-0050,Jaipur,C013,24.671373,82.75661,24.676552,82.760506,2024-06-02 09:31:00,2024-06-02 10:14:00,Sanitizer
TECH-ORD-0051,Kolkata,C016,20.177644,81.746681,20.184492,81.749546,2024-06-01 21:51:00,2024-06-01 22:29:00,First Aid Kit
